Wall time,Step,Value
1746332583.3905861,673,23.0
1746332583.445382,674,25.0
1746332583.496595,675,24.0
1746332583.5886724,677,14.0
1746332583.6409574,678,26.0
1746332583.694709,679,24.0
1746332583.8486207,682,20.0
1746332583.8963635,683,22.0
1746332583.9509878,684,22.0
1746332584.0768528,686,28.0
1746332584.1658342,688,22.0
1746332584.2273262,689,25.0
1746332584.6226995,696,20.0
1746332584.7827387,699,30.0
1746332585.0006697,703,20.0
1746332585.1676617,706,22.0
1746332585.3031414,708,25.0
1746332585.435171,710,31.0
1746332585.680293,714,28.0
1746332585.9155633,718,32.0
1746332586.0969982,721,16.0
1746332586.157742,722,23.0
1746332586.2219658,723,24.0
1746332586.294506,724,28.0
1746332586.6668959,730,27.0
1746332587.0724955,736,23.0
1746332587.1820173,738,28.0
1746332587.2348893,739,21.0
1746332587.4727607,743,23.0
1746332587.6461952,746,23.0
1746332587.7330315,747,38.0
1746332587.9001613,750,14.0
1746332587.9761128,751,32.0
1746332588.054004,752,29.0
1746332588.196296,754,27.0
1746332588.32727,756,26.0
1746332588.7131147,762,20.0
1746332588.9199712,765,28.0
1746332588.9898202,766,28.0
1746332589.18145,769,33.0
1746332589.2604678,770,35.0
1746332589.3150766,771,20.0
1746332589.4256837,773,24.0
1746332589.4876182,774,25.0
1746332589.845026,780,31.0
1746332590.0742068,784,21.0
1746332590.1400433,785,29.0
1746332590.2572155,787,27.0
1746332590.3937669,789,31.0
1746332590.5104697,791,20.0
1746332590.5637703,792,23.0
1746332590.6190338,793,19.0
1746332590.6734185,794,21.0
1746332590.7492669,795,31.0
1746332590.9356368,798,27.0
1746332591.066727,800,21.0
1746332591.1804254,802,19.0
1746332591.3571155,805,20.0
1746332591.4986768,807,25.0
1746332591.579715,808,35.0
1746332591.6513133,809,30.0
1746332592.0347762,815,29.0
1746332592.1097465,816,32.0
1746332592.2372773,818,23.0
1746332592.414017,821,28.0
1746332592.6608617,825,26.0
1746332592.8143866,828,23.0
1746332592.972709,831,23.0
1746332593.0416105,832,29.0
1746332593.150503,834,22.0
1746332593.2866764,836,28.0
1746332593.4246004,838,33.0
1746332593.7258315,843,29.0
1746332593.928068,846,31.0
1746332594.081105,848,31.0
1746332595.0214057,863,29.0
1746332595.2969944,867,34.0
1746332595.3954985,869,22.0
1746332595.4658422,870,34.0
1746332595.7007763,874,25.0
1746332595.8215034,876,27.0
1746332595.8780253,877,22.0
1746332596.0772228,880,26.0
1746332596.2204037,882,20.0
1746332596.344725,884,32.0
1746332596.5044394,887,28.0
1746332596.5993438,889,19.0
1746332596.6647696,890,29.0
1746332596.7883637,892,26.0
1746332596.9923959,896,29.0
1746332597.2214944,900,35.0
1746332597.6634073,907,38.0
1746332597.7250314,908,30.0
1746332597.807754,909,41.0
1746332597.86885,910,25.0
1746332597.9970403,912,22.0
1746332598.1632304,915,18.0
1746332598.2339125,916,35.0
1746332598.285046,917,21.0
1746332598.4435234,920,24.0
1746332598.5085957,921,32.0
1746332598.5858538,922,38.0
1746332598.657851,923,32.0
1746332599.140174,931,21.0
1746332599.1998167,932,28.0
1746332599.3685644,935,29.0
1746332599.736422,942,25.0
1746332599.921296,945,34.0
1746332600.3725173,953,26.0
1746332600.430052,954,29.0
1746332600.539241,956,24.0
1746332600.5982149,957,31.0
1746332600.6722834,958,34.0
1746332600.8415966,961,31.0
1746332600.8947425,962,28.0
1746332601.0155954,964,38.0
1746332601.1408901,966,35.0
1746332601.4817762,971,32.0
1746332601.5606143,972,37.0
1746332601.7938468,976,24.0
1746332601.8814635,977,40.0
1746332601.957687,978,29.0
1746332602.0238664,979,27.0
1746332602.207875,982,34.0
1746332602.2729287,983,28.0
1746332602.324209,984,22.0
1746332602.5135028,987,31.0
1746332602.5640552,988,24.0
1746332603.0388908,996,33.0
1746332603.30148,1000,35.0
1746332603.4272778,1002,30.0
1746332603.5323284,1004,21.0
1746332603.582354,1005,24.0
1746332603.7430444,1008,22.0
1746332603.962555,1011,41.0
1746332604.025343,1012,24.0
1746332604.086823,1013,27.0
1746332604.1519775,1014,27.0
1746332604.325949,1017,24.0
1746332604.8412776,1025,26.0
1746332604.9895484,1027,27.0
1746332605.1457949,1029,28.0
1746332605.2771018,1031,37.0
1746332605.334458,1032,24.0
1746332605.5140667,1035,33.0
1746332605.623343,1037,27.0
1746332605.769397,1039,31.0
1746332606.0571032,1044,28.0
1746332606.4211733,1051,20.0
1746332606.4734588,1052,24.0
1746332606.6713192,1055,34.0
1746332606.8050447,1057,29.0
1746332607.1660109,1063,23.0
1746332607.2349823,1064,32.0
1746332607.3667293,1066,27.0
1746332607.4889176,1068,33.0
1746332607.7698853,1072,31.0
1746332608.1966863,1076,46.0
1746332608.3437219,1078,37.0
1746332608.6544714,1083,24.0
1746332608.716133,1084,27.0
1746332608.779086,1085,31.0
1746332609.1529546,1092,30.0
1746332609.2052648,1093,26.0
1746332609.5602574,1099,29.0
1746332609.7920284,1103,27.0
1746332609.8419504,1104,24.0
1746332609.903872,1105,30.0
1746332610.5155504,1114,26.0
1746332610.657529,1116,37.0
1746332610.85475,1119,36.0
1746332611.2738438,1125,26.0
1746332611.3412366,1126,31.0
1746332611.607403,1130,38.0
1746332611.8443341,1133,34.0
1746332611.9004295,1134,24.0
1746332611.9626005,1135,28.0
1746332612.1356914,1138,25.0
1746332612.7701201,1149,28.0
1746332612.9252858,1152,19.0
1746332613.142815,1155,29.0
1746332613.2005079,1156,23.0
1746332613.2634299,1157,27.0
1746332613.467725,1160,29.0
1746332613.5250816,1161,29.0
1746332613.5831425,1162,28.0
1746332614.5274415,1177,29.0
1746332614.7104595,1180,29.0
1746332614.8386161,1182,37.0
1746332614.8917305,1183,27.0
1746332615.0154269,1185,34.0
1746332615.0855815,1186,31.0
1746332615.3215592,1189,45.0
1746332615.5251665,1192,35.0
1746332615.5860498,1193,27.0
