Wall time,Step,Value
1746332681.3446066,1935,4.0
1746332681.4066274,1936,1.0
1746332681.5110753,1938,1.0
1746332681.5511806,1939,1.0
1746332681.760313,1944,0.0
1746332681.8670874,1947,0.0
1746332681.9377694,1949,0.0
1746332682.042933,1952,0.0
1746332682.1510875,1955,0.0
1746332682.2963955,1958,0.0
1746332682.4001307,1960,0.0
1746332684.6937513,1966,233.0
1746332685.170458,1967,147.0
1746332685.3683977,1969,23.0
1746332685.494618,1971,3.0
1746332685.9699862,1980,0.0
1746332686.0483904,1981,8.0
1746332686.1130528,1982,5.0
1746332686.1857405,1983,9.0
1746332687.4607685,1997,11.0
1746332687.7411304,2001,10.0
1746332688.2716777,2005,38.0
1746332691.9584706,2006,1196.0
1746332700.0748365,2009,1198.0
1746332700.1859555,2010,19.0
1746332700.351419,2013,0.0
1746332700.4470687,2015,0.0
1746332700.5485175,2017,0.0
1746332700.8078716,2022,0.0
1746332700.957234,2025,0.0
1746332701.056366,2027,0.0
1746332701.093958,2028,0.0
1746332701.188519,2030,4.0
1746332701.3475714,2033,0.0
1746332701.4825284,2036,0.0
1746332701.6027992,2038,9.0
1746332708.6891148,2041,1195.0
1746332718.5723627,2044,1191.0
1746332719.1741261,2045,176.0
1746332719.3911808,2048,0.0
1746332719.5596175,2051,0.0
1746332719.9932797,2059,0.0
1746332720.055856,2060,0.0
1746332720.1826487,2062,0.0
1746332720.4429595,2067,0.0
1746332720.7521763,2072,0.0
1746332720.807875,2073,0.0
1746332720.8731232,2074,0.0
1746332720.9789283,2076,0.0
1746332721.040854,2077,1.0
1746332721.1918902,2079,12.0
1746332723.2868884,2081,357.0
1746332725.4938781,2084,15.0
1746332725.5445058,2085,0.0
1746332725.7408445,2089,0.0
1746332725.993817,2094,0.0
1746332726.098805,2096,0.0
1746332726.4373918,2102,8.0
1746332726.4925363,2103,2.0
1746332726.611475,2104,22.0
1746332726.7368793,2105,27.0
1746332726.8516817,2106,21.0
1746332727.222738,2109,26.0
1746332727.4415255,2111,19.0
1746332727.785643,2114,21.0
1746332727.8526318,2115,1.0
1746332728.0336027,2118,1.0
1746332728.160255,2120,2.0
1746332728.4033751,2122,21.0
1746332728.5553007,2123,36.0
1746332728.7283924,2124,46.0
1746332730.0653782,2128,148.0
1746332731.6771107,2132,76.0
1746332732.4416394,2133,240.0
1746332732.7031558,2134,84.0
1746332735.0317385,2138,235.0
1746332735.5811608,2139,155.0
1746332738.267113,2141,301.0
1746332738.692575,2142,121.0
1746332739.2590306,2144,31.0
1746332739.447078,2145,45.0
1746332739.5899632,2146,30.0
1746332739.9495282,2148,27.0
1746332740.20807,2149,69.0
1746332740.903583,2151,114.0
1746332742.8260248,2154,344.0
1746332744.0887682,2156,79.0
1746332744.4791121,2157,87.0
1746332750.2018235,2163,609.0
1746332750.5283272,2164,104.0
1746332751.1378775,2165,206.0
1746332754.6402,2169,361.0
1746332755.4558866,2171,184.0
1746332757.9796638,2173,579.0
1746332761.088842,2177,360.0
1746332777.6203306,2184,1000.0
1746332788.4897788,2187,1197.0
1746332792.0819597,2189,20.0
1746332792.2046158,2191,0.0
1746332792.271019,2192,0.0
1746332792.459733,2196,0.0
1746332792.5506723,2198,0.0
1746332792.5997968,2199,0.0
1746332792.6353874,2200,0.0
1746332792.7617133,2203,0.0
1746332792.804582,2204,0.0
1746332792.9263191,2207,0.0
1746332792.9574006,2208,0.0
1746332793.0808032,2211,0.0
1746332793.1820202,2214,0.0
1746332793.4054074,2218,3.0
1746332807.5923326,2224,1195.0
1746332812.4413247,2225,1194.0
1746332817.5689495,2228,6.0
1746332817.6535335,2229,0.0
1746332817.8081305,2231,0.0
1746332817.9783797,2233,0.0
1746332818.0583515,2234,0.0
1746332818.2097397,2236,0.0
1746332818.2761173,2237,0.0
1746332818.4326813,2239,0.0
1746332818.5018003,2240,0.0
1746332818.5769413,2241,0.0
1746332818.6504238,2242,1.0
1746332818.8149116,2244,0.0
1746332818.9751763,2246,1.0
1746332819.042765,2247,1.0
1746332819.356638,2251,0.0
1746332819.4210157,2252,0.0
1746332819.5662336,2254,0.0
1746332819.788453,2257,1.0
1746332820.9337404,2259,192.0
1746332823.110952,2262,119.0
1746332843.6383972,2274,86.0
1746332845.3929336,2278,6.0
1746332845.704764,2281,0.0
1746332846.0813608,2286,0.0
1746332846.2673063,2288,4.0
1746332846.497029,2291,0.0
1746332846.9176967,2297,0.0
1746332847.0312188,2298,6.0
1746332853.0831482,2300,1196.0
1746332866.167413,2303,1197.0
1746332882.5641186,2306,1198.0
1746332888.5736578,2307,1197.0
